Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,SMD_Battery_Clip,BK5009,30.185,-127.394209,0.0,bottom
C1,1uF,C_0402_1005Metric,34.55856,-110.008,0.0,top
C2,1uF,C_0402_1005Metric,33.54256,-106.96,180.0,top
C3,1uF,C_0402_1005Metric,34.60656,-114.834,0.0,top
C4,1uF,C_0402_1005Metric,33.61856,-111.786,180.0,top
C5,1uF,C_0402_1005Metric,34.60656,-119.66,0.0,top
C6,1uF,C_0402_1005Metric,33.59056,-116.612,180.0,top
C7,1uF,C_0402_1005Metric,27.405,-109.92317,0.0,top
C8,1uF,C_0402_1005Metric,26.405,-106.87517,180.0,top
C9,1uF,C_0402_1005Metric,27.655,-114.74917,0.0,top
C10,1uF,C_0402_1005Metric,26.639,-111.70117,180.0,top
C11,1uF,C_0402_1005Metric,27.655,-119.57517,0.0,top
C12,1uF,C_0402_1005Metric,26.611,-116.52717,180.0,top
J1,Conn_01x08_MountingPin,PinHeader_1x08_P2.54mm_Vertical,21.325,-102.957,0.0,top
J2,Conn_01x08_MountingPin,PinHeader_1x08_P2.54mm_Vertical,39.085,-120.732,180.0,top
J3,Conn_01x14_MountingPin,PinHeader_2x07_P2.00mm_Vertical,23.685,-79.317,90.0,top
J4,Conn_01x14_MountingPin,PinHeader_2x07_P2.00mm_Vertical,24.185,-95.0,90.0,top
M1,VG0640001D,VG0640001D,25.970134,-53.862,0.0,top
M2,VG0640001D,VG0640001D,25.980134,-60.862,0.0,top
M3,VG0640001D,VG0640001D,25.990134,-67.882,0.0,top
M4,VG0640001D,VG0640001D,33.329867,-53.892,180.0,top
M5,VG0640001D,VG0640001D,33.339867,-60.892,180.0,top
M6,VG0640001D,VG0640001D,33.329867,-67.892,180.0,top
R1,10K,R_0603_1608Metric,31.23656,-108.504,0.0,top
R2,10K,R_0603_1608Metric,32.05656,-109.99,0.0,top
R3,10K,R_0603_1608Metric,31.23656,-113.33,0.0,top
R4,10K,R_0603_1608Metric,32.05656,-114.816,0.0,top
R5,10K,R_0603_1608Metric,31.23656,-118.156,0.0,top
R6,10K,R_0603_1608Metric,32.05656,-119.642,0.0,top
R7,10K,R_0603_1608Metric,24.01956,-108.398,0.0,top
R8,10K,R_0603_1608Metric,24.79656,-109.917,0.0,top
R9,10K,R_0603_1608Metric,24.01956,-113.224,0.0,top
R10,10K,R_0603_1608Metric,24.79656,-114.743,0.0,top
R11,10K,R_0603_1608Metric,24.01956,-118.05,0.0,top
R12,10K,R_0603_1608Metric,24.79656,-119.569,0.0,top
U1,DRV2605LDGS,DRV2605YFZR,34.05056,-108.484,-90.0,top
U2,DRV2605LDGS,DRV2605YFZR,34.09856,-113.31,-90.0,top
U3,DRV2605LDGS,DRV2605YFZR,34.09856,-118.136,-90.0,top
U4,DRV2605LDGS,DRV2605YFZR,26.905,-108.39917,-90.0,top
U5,DRV2605LDGS,DRV2605YFZR,27.147,-113.22517,-90.0,top
U6,DRV2605LDGS,DRV2605YFZR,27.147,-118.05117,-90.0,top
